,productType,description,origin,links,id
20,Other,"Cinvanti (aprepitant), a substance P/neurokinin-1 receptor antagonist",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,09d6e83cd7d4c021fa2a7dec5a336967
21,Other,LEAPS COVID 19 conjugate; Peptides targeting the NP protein,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,0b7dfc8ee9c4d1b148b58957d5935ac4
22,Replicating viral vector,Attenuated Influenza expressing an antigenic portion of the Spike protein,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,0c463cd1003c7b221a8195e95c4a0d42
23,Device,LungFit (with ultra-high concentrations of nitric oxide),Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,0cddff5920a06f420e9b13a851e31dd1
24,Cell-based therapies,Umbilical cord-derived mesenchymal stem cells,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,0d2c457041c60bc3805ad4553924139b
25,Other,"Levaquin (levofloxacin), a fluoroquinolone antibacterial",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,0de2d38abf0946d3f31344b914893a63
26,Other,"Coronzot, a novel family of drugs, sequestration of the labile iron",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,0f5f8ec13251ad0c6b6753d3b3d736c9
27,RNA-based vaccine,"Self-amplifying
  RNA",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,0fad64f847d0688ea1b9815733074982
28,Scanning compounds to repurpose,Scanning compounds to repurpose,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,0fe601e9923aa2517769defe737259a0
29,Virus-like particle,VLP,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1059e1c9ae3292a2392ec735f3207951
30,Antivirals,"Daklinza (daclatasvir), hepatitis C virus (HCV) NS5A inhibitor",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,108915b03ac2f57c9de4e4e8fc4a0f04
31,Antibodies,Antibodies,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,109c660f32add1cdd4fcda2bffddfc7a
32,Antivirals,"EIDD-2801, oral ribonucleoside analog",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,10f9eb815ff09d3bdd934e5752c7a142
33,Other,"ADX-1612, HSP 90 inhibitor",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,110668ced011b67f4086179398c9b385
34,Replicating viral vector,VSV-S,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1116ce252265554dc53e726de5de4a9a
35,Protein subunit,"Protein subunit, drosophila S2 insect cell expression system VLPs",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1168658069c94b653afebc91060a70fe
36,Unknown,"Self-assembling vaccine (fusion protein of a heat shock protein and Avidin, with biotinylated immunogenic peptides)",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11980b56825d5b60f85caf0b88f48454
37,Cell-based therapies,Autologous Adipose-Tissue Derived Mesenchymal Stem Cells (ADMSCs),Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11f1917375bb99184258262931d1cd0f
38,Other,"Eritoran, TLR-4 antagonist",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,120a068ab6c96a5d0a531974178a4d45
39,DNA-based,"DNA plasmid, CoVAXIX",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12abdeb0002370814bc9471ab09d1ef7
40,Protein subunit,Protein subunit; COVID-19 XWG-03 truncated Spike proteins,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,13979497bb057e29a6054c8c4414af8d
41,Other,APN01; recombinant soluble human Angiotensin Converting Enzyme 2,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,13f62f66162709cd52639fc601339f7d
42,Antibodies,"TY027, monoclonal antibody targeting SARS-CoV-2",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,14191392e1f9c81c6ac789eb3efd5e89
43,Protein subunit,Protein subunit,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,147b788e82a47202abcd17f5433e7793
44,Other,"Ryanodex (dantrolene sodium), skeletal muscle relaxant",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,14ad579cf038a512b05d7871b6b21ee8
45,Antibodies,Polyclonal antibodies,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,153ff1f69961178e924fa58855f21374
46,Inactivated virus,Inactivated (inactivated + alum),Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,15dfb8252f7d3539eb542b2be4aac8d5
47,Protein subunit,"Baculovirus-insect cells expression system, spike (S) protein (tAdimrSC-2f)",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,16604c4eb2a97eaebdba7d9d33ff2980
48,Cell-based therapies,"ACT-20, allogeneic cell preparation of mesenchymal stem cells from umbilical cord tissue",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,17c4dedc56a05cdd48ed319e72ac74e3
49,Other,Flarin (lipid ibuprofen),Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,17cb8594074244faae54012ae260e292
50,Unknown,Unknown,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,180786cd1f62a38e3a65aaa56d4abfb0
51,Inactivated virus,Inactivated,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,18a5bb8964c126ba5bb766487356b781
52,Protein subunit,Recombinant fusion protein of the SARS-CoV-2 spike protein S1 domain and human IgG Fc (T-VIVA-19),Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,19861772f2d4ae5f5c1651fe96979cfb
53,Replicating viral vector,Replicating viral vector; VSV vector,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1a29ede7c38db4e4f861038935b9b0de
54,Other,"tradipitant, a neurokinin-1 receptor antagonist",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1ab2ae28298291b53c16f6a3471291f0
55,Antivirals,"Selzentry (maraviroc), a CCR5 co-receptor antagonist",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1b54949115b29447b7a3c568843d37b8
56,Device,"gammaCore Sapphire CV, vagus nerve stimulation device",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1ba7a770f38001e249ba45f2c2ff1b92
57,Other,Rebif (interferon beta-1a),Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1c688a4c421261be83027640997153f5
58,Inactivated virus,Inactivated,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1c90de01a06169e69e833d0c41390908
59,Virus-like particle,VLP,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1ce45b908805fec4f4285b16a54642ec
60,Non-replicating viral vector,Adenovirus-based + HLA-matched peptides (Pan-Corona),Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1d67724ee1c84962dedc8eb26afb4e9e
61,Dormant / Discontinued,"Combination of ebastine, lopinavir, and interferon alpha
",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1d924a48f271cf4cb631a0479f0c3711
62,Protein subunit,RBD protein (baculovirus production) + FAR-Squalene adjuvant,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1da890229d8f8ebe079d84821579bfdd
63,DNA-based,"DNA plasmid vaccine S, S1, S2, RBD & N",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1dfda00f44b820bed5f20c7b74752ac2
64,Antibodies,Antibodies (OmniChicken platform),Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1fe41b7b2b2f3e3308e5031b78d27aeb
65,DNA-based,DNA plasmid vaccine with electroporation; INO-4800,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,204fb63f749bff202aac51cd2b9c3d52
66,Virus-like particle,VLP (COVID-19 and SARS1),Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,224f39975b1d0243f747fc38ae429832
67,Other,"M5049, small molecule that block the activation of Toll-like receptor (TLR)7 and TLR8",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,22eac0d45a58ffe913bd0654b8bdf542
68,Protein subunit,"Protein subunit, recombinant protein  ",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,23bf1bcfb6fad7aa24c563d87adbcf55
69,Non-replicating viral vector,"Non-replicating viral vector; [E1-, E2b-, E3-] hAd5-COVID19-Spike/Nucleocapsid",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,24a31941eff775f872f5ab7345de01eb
70,DNA-based,DNA plasmid (ZyCoV-D),Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,272662099511c288b6e4a8037756d1b8
71,Antibodies,"meplazumab, anti-CD147 antibody",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,273c4efb0d8ef8f6d5eb311b9685f620
72,Other,"MSTT1041A (anti-ST2, the receptor for IL-33)",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,27615057e6811427d1f638652a384547
73,Scanning compounds to repurpose,Screening a chemical library of 500 billion molecules,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,27f79027b98e5c7b3c298b55b6b99fa2
74,Dormant / Discontinued,"AiRuiKa (camrelizumab), anti-programmed cell death protein (PD-1) antibody",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,29614941620aa9da4b966597bcecc13b
75,Other,Nangibotide,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,299130e82b6ac2d3bc308ca7c9fb1696
76,Antibodies,"rCIG (recombinant anti-coronavirus 19 hyperimmune gammaglobulin), polyclonal antibodies",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,29cfd8220149376d16f9b85464d8c05f
77,Antibodies,"GC5131A, plasma derived therapy",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,2abf7f4407ee06f4f2c6fb174a1bfb2b
78,RNA-based vaccine,mRNA in targeted LPNs (Langerhans cell specific),Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,2b7137c170857f0095bfad4f10bf269e
79,Other,"SNG001, inhaled formulation of interferon beta-1a",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,2d10cf2da23c0f2a61b99355aed2fb26
80,Other,"Calquence (acalabrutinib), Bruton's tyrosine kinase (BTK) inhibitor",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,2dcfcf512f05071f97789b194082c839
81,Other,solnatide (synthetic molecule with a structure based on the lectin-like domain of human Tumour Necrosis Factor alpha),Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,2e8d63d87cc63af5d40291a519391d5b
82,Non-replicating viral vector,Non-replicating viral vector; Adenovirus Type 5 vector (Ad5-nCoV),Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,2e93c0097461fff9d2450f761ed7ab18
83,Live attenuated virus,Codon deoptimized live attenuated vaccines,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,2f07483340acd343f670673ce02f1243
84,Cell-based therapies,"Ryoncil (remestemcel-L), allogenic mesenchymal stem cells",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,300f44b06953592170bba5b97f7ef560
85,Dormant / Discontinued,"Gilenya (fingolimod), sphingosine 1-phosphate receptor modulator",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,3015c929962277506dbf321a5a1a0964
86,Other,"apabetalone (RVX-208), selective BET (bromodomain and extra-terminal) inhibitor",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,30a6c334f8fb7f412094495634890941
87,Inactivated virus,Inactivated,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,3157004548fd0de9be34bb14a4ca3471
88,Non-replicating viral vector,Non-replicating viral vector; replication defective simian adenovirus encoding SARS-CoV-2 S (GRAd-CoV2),Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,31adaac436bd59027f09be1707df4519
89,Replicating viral vector,Replicating viral vector; VSV-S,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,31b23f6ffac67d4fce5bd5232f396c8f
90,Antibodies,"lenzilumab, anti-granulocyte-macrophage colony stimulating factor antibody",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,31f237fc19b86559b5c14006265a4e60
91,Antibodies,PD-1 blocking antibody; Thymosin,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,326233aa6e66fd9211be345c7ab5aa7e
92,Non-replicating viral vector,"AdCOVID; single-dose, intranasal vaccine; non replicating viral vector; adenovirus-based NasoVAX expressing spike protein",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,32bbd3f7f59ad250189c13454ec8201a
93,Cell-based therapies,"AlloRx stem cells, umbilical cord mesenchyma stem cell therapy",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,337f5c10962dcdc992cbb5cc47492626
94,Other,"pacritinib, oral kinase inhibitor with specificity for JAK2, IRAK1 and CSFIR",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,33c8602af22a51ef47607259427a1271
95,Other,"Vascepa (icosapent ethyl), a form of eicosapentaenoic acid",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,341c0b89bdbb89afa9b2992c2b2002ab
96,Antivirals,"remdesivir, nucleotide analog",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,3430415022e9a313afc31521e2501c72
97,Other,"WP1122, glucose decoy prodrug (and related drug candidates)",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,3469956a470e51a91c3bdfc5bef293c3
98,Antibodies,Antibodies from recovered COVID-19 patients,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,34b89c04551b607b3624669780cc23b5
99,Replicating viral vector,"Replicating viral vector, influenza vector expressing RBD",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,34d7dfe230e722ae99574f38c72d83da
100,Other,"dipyridamole (Persantine), anticoagulant",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,360af64b4cddd3fd6380b0285f314503
101,Protein subunit,"PittCoVacc, Protein subunit, microneedle arrays S1 subunit",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,361a2a73817b68485d738a353cf96964
102,Antibodies,Antibodies from recovered COVID-19 patients,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,36749c2cbec583e749f2e7dea818a1fb
103,Other,New drug based on a sugar found in human milk,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,3779a2c948f4b0247164455bb9804581
104,Protein subunit,Protein subunit EPV-CoV-19,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,377b158ec92fe9e8a7fa5f896b3675dd
105,Protein subunit,Outer Membrane Vesicle (OMV)-subunit,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,37b483f92d53c87bc39092600fb182f7
106,RNA-based vaccine,RNA; mRNA (DS-5670),Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,3800e8fc25d5cec4c1b0d8e033ed8c92
107,Other,"vazegepant, CGRP receptor antagonist",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,384057be8391b920fbf268f08322a102
108,Non-replicating viral vector,Non-replicating viral vector; MVA-S encoded,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,39dc9437f37913a4f0fd2ff263b619a4
109,Unknown,Artificial antigen-presenting cells modified with lentiviral vector expressing synthetic minigene based on domains of selected viral proteins,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,39dd89c51acf1f98ad351862549ba9af
110,Other,"DSTAT (dociparstat sodium), glycosaminoglycan derivative of heparin
",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,39e9227fb33080a2b40fe173be0c1ec6
111,Other,"TD139, specific inhibitor of galectin-3, inhalation powder",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,3b1ffbb98861a6e699d254ad3778cd59
112,DNA-based,DNA,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,3b2f31cafff12649cfc3a015088e88bf
113,Other,PUL-042 inhalation solution,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,3bc234cfa0c6dd6b23d95057afa0244d
114,Antibodies,"Avastin (bevacizumab), vascular endothelial growth factor inhibitor",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,3bf1e29b03f89e576d5c362dec22b77e
115,Other,"Kineret (anakinra), interleukin-1 receptor antagonist",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,3c5fbc4b3c03b7986b1ab66fed983e33
116,Antivirals,AB001,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,3d2eb784bae7e5dbb64f1c536bc57f24
117,Antivirals,"Truvada (emtricitabine and tenofovir, both HIV-1 nucleoside analog reverse transcriptase inhibitors)",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,3e1e48bbdbe6a3cb744fd932c6931bd7
